cancel_id,trip_id,cancelled_by,reason,cancelled_at
1,2,driver,personal emergency,2024-01-25 20:55:28
2,7,driver,wrong pickup,2023-06-02 19:32:48
3,16,driver,rider rating too low,2022-05-13 15:56:17
4,29,driver,rider rating too low,2022-03-06 04:48:56
5,63,rider,personal emergency,2022-07-14 23:33:56
6,75,rider,changed my mind,2024-03-23 11:04:17
7,83,driver,wrong pickup,2022-03-17 20:03:14
8,88,rider,too long wait,2024-06-01 09:46:13
9,89,rider,too long wait,2022-11-11 02:32:00
10,94,driver,system error,2022-10-14 12:59:35
11,99,driver,rider rating too low,2023-07-25 02:33:35
12,103,rider,found another ride,2023-02-11 17:58:55
13,125,rider,changed my mind,2022-06-07 07:39:00
14,135,rider,waited too long,2023-10-04 02:24:14
15,137,rider,driver too far,2022-12-13 22:56:46
16,138,rider,changed my mind,2024-02-27 04:47:46
17,165,rider,waited too long,2022-01-06 14:01:15
18,172,rider,duplicate booking,2022-07-02 21:27:02
19,175,rider,price too high,2022-01-29 11:11:22
20,190,rider,waited too long,2023-12-25 10:20:45
21,191,rider,found another ride,2023-08-26 14:15:00
22,218,rider,changed my mind,2023-02-04 11:37:36
23,219,rider,duplicate booking,2023-08-25 11:37:05
24,220,rider,price too high,2024-06-15 16:40:17
25,223,rider,waited too long,2022-06-09 15:42:27
26,230,rider,driver too far,2023-02-05 15:47:21
27,232,rider,waited too long,2023-09-07 08:15:40
28,238,driver,rider rating too low,2024-05-10 11:08:03
29,252,rider,found another ride,2022-07-22 18:45:49
30,256,rider,personal emergency,2023-07-04 08:42:57
31,266,rider,duplicate booking,2022-07-16 14:41:24
32,275,rider,price too high,2024-04-25 13:05:24
33,279,rider,duplicate booking,2024-02-08 09:31:10
34,282,rider,waited too long,2024-04-02 16:46:37
35,291,rider,waited too long,2024-02-06 17:36:45
36,294,rider,personal emergency,2022-07-01 18:51:04
37,296,driver,rider rating too low,2022-03-25 15:09:47
38,300,rider,personal emergency,2022-12-18 05:23:56
39,304,rider,too long wait,2022-04-03 01:37:02
40,308,rider,personal emergency,2023-03-03 04:33:20
41,310,rider,waited too long,2023-09-08 18:08:23
42,313,rider,price too high,2022-02-27 23:22:21
43,317,driver,area not safe,2023-01-19 09:27:05
44,319,rider,price too high,2022-01-11 18:57:20
45,336,rider,waited too long,2023-03-08 05:36:01
46,343,rider,price too high,2022-04-09 03:29:15
47,344,driver,vehicle issue,2024-01-04 19:52:50
48,349,driver,system error,2023-07-14 22:36:23
49,351,rider,too long wait,2023-09-10 00:53:38
50,366,driver,rider rating too low,2023-07-18 14:22:29
51,395,rider,driver too far,2024-02-05 00:08:29
52,410,rider,found another ride,2023-02-05 14:56:42
53,412,rider,found another ride,2023-12-07 11:36:32
54,424,rider,driver too far,2024-04-25 01:32:26
55,425,rider,driver too far,2024-02-04 10:25:13
56,433,rider,changed my mind,2023-07-14 02:20:58
57,434,rider,driver too far,2023-02-04 02:51:34
58,437,rider,driver too far,2023-11-03 07:14:57
59,444,driver,area not safe,2023-09-17 19:47:32
60,456,rider,price too high,2022-10-26 05:56:15
61,469,driver,rider rating too low,2023-03-04 07:42:06
62,474,rider,too long wait,2022-12-10 22:53:56
63,486,rider,duplicate booking,2023-10-01 19:37:48
64,489,rider,waited too long,2022-11-27 23:43:12
65,504,rider,waited too long,2023-06-10 18:21:52
66,506,rider,waited too long,2024-06-28 02:04:19
67,508,driver,area not safe,2023-06-01 17:46:54
68,512,rider,driver too far,2023-10-09 07:41:33
69,522,driver,area not safe,2022-02-07 23:24:49
70,533,rider,too long wait,2023-08-30 14:00:00
71,548,rider,duplicate booking,2022-06-25 15:22:25
72,560,rider,too long wait,2022-04-11 15:46:02
73,567,rider,found another ride,2022-05-11 10:25:18
74,568,driver,wrong pickup,2024-02-16 01:18:55
75,576,rider,personal emergency,2023-06-06 17:34:12
76,582,rider,driver too far,2024-06-17 23:06:07
77,583,rider,price too high,2022-04-06 15:58:36
78,586,driver,wrong pickup,2022-12-27 14:59:39
79,594,rider,waited too long,2023-08-10 12:52:01
80,596,rider,found another ride,2022-10-27 17:52:57
81,615,rider,too long wait,2023-03-01 06:24:13
82,621,rider,driver too far,2022-03-22 11:42:44
83,623,rider,duplicate booking,2024-02-05 22:10:21
84,641,rider,found another ride,2022-01-26 02:05:25
85,656,rider,duplicate booking,2024-04-17 19:55:33
86,661,rider,changed my mind,2022-09-13 22:05:36
87,663,driver,rider rating too low,2023-09-18 07:32:51
88,665,driver,area not safe,2022-04-03 02:41:41
89,668,driver,wrong pickup,2022-04-03 23:08:02
90,669,rider,waited too long,2024-06-09 18:30:04
91,673,rider,found another ride,2022-11-23 04:56:21
92,676,rider,found another ride,2023-07-22 20:18:19
93,677,driver,personal emergency,2024-06-05 19:54:41
94,720,rider,personal emergency,2022-04-23 14:15:22
95,745,rider,duplicate booking,2024-06-26 11:02:25
96,772,rider,duplicate booking,2022-10-08 19:19:39
97,801,driver,personal emergency,2024-02-07 03:33:48
98,822,rider,price too high,2022-10-19 02:48:45
99,823,rider,found another ride,2022-10-28 05:56:30
100,828,rider,found another ride,2023-09-25 01:26:34
101,838,driver,wrong pickup,2022-06-12 02:57:28
102,843,rider,changed my mind,2023-01-05 03:46:03
103,851,rider,price too high,2024-03-17 00:59:37
104,852,rider,changed my mind,2022-05-10 18:06:21
105,857,rider,duplicate booking,2022-12-13 04:05:06
106,904,rider,found another ride,2022-04-26 22:50:09
107,910,rider,driver too far,2023-06-22 08:06:52
108,916,driver,area not safe,2023-06-05 03:52:14
109,924,rider,driver too far,2024-02-25 00:13:56
110,932,driver,rider rating too low,2023-05-24 06:14:40
111,933,driver,wrong pickup,2022-12-14 04:30:05
112,936,rider,price too high,2024-02-01 18:51:35
113,951,driver,system error,2022-01-14 05:51:41
114,960,rider,price too high,2023-11-04 07:16:50
115,966,driver,area not safe,2023-02-23 09:55:25
116,973,rider,duplicate booking,2022-08-23 01:12:29
117,976,rider,found another ride,2023-11-12 19:24:29
118,978,driver,system error,2023-09-09 03:17:41
119,979,rider,found another ride,2022-01-23 04:34:10
120,999,driver,system error,2022-07-18 21:49:20
121,1008,rider,changed my mind,2023-03-26 23:44:46
122,1014,rider,waited too long,2023-08-28 20:27:45
123,1020,driver,rider rating too low,2023-08-22 03:13:00
124,1022,driver,vehicle issue,2024-06-16 01:01:21
125,1033,driver,rider unresponsive,2022-06-04 17:34:16
126,1041,rider,found another ride,2023-08-20 08:02:30
127,1043,rider,waited too long,2023-11-06 17:20:08
128,1056,driver,wrong pickup,2023-05-18 17:53:13
129,1060,rider,price too high,2023-04-17 09:56:04
130,1063,rider,price too high,2022-09-25 10:49:30
131,1074,rider,changed my mind,2022-02-20 19:47:43
132,1078,rider,found another ride,2023-02-04 05:57:10
133,1081,rider,found another ride,2022-07-27 00:03:19
134,1082,rider,found another ride,2023-12-10 15:57:45
135,1093,rider,waited too long,2022-03-10 08:17:28
136,1100,driver,rider rating too low,2023-06-05 02:30:18
137,1129,rider,waited too long,2023-03-24 20:39:48
138,1130,driver,area not safe,2023-10-10 08:05:43
