driver_id,user_id,vehicle_make,vehicle_model,vehicle_year,license_plate,rating,join_date,is_active,rating_bucket,tenure_days
1,1781,Kia,Soul,2015,ZVJ-2140,4.1,2019-12-22,1,4.0 - 4.5,1652
2,408,Hyundai,Tucson,2016,WLW-3906,4.21,2020-12-14,1,4.0 - 4.5,1294
3,693,Hyundai,Sonata,2014,WEA-5140,3.81,2023-07-25,1,3.5 - 4.0,341
4,187,Nissan,Rogue,2021,KDE-9978,4.82,2020-01-11,1,4.5 - 5.0,1632
5,1499,Ford,Fusion,2019,EKJ-8600,3.3,2023-07-15,0,Below 3.5,351
6,1894,Ford,Explorer,2012,NUT-1132,3.6,2022-01-30,1,3.5 - 4.0,882
7,1948,Subaru,Legacy,2020,LWV-0482,4.31,2022-11-08,1,4.0 - 4.5,600
8,639,Honda,Pilot,2019,TWE-2192,2.66,2021-09-05,0,Below 3.5,1029
9,564,Nissan,Maxima,2013,FGT-3745,4.98,2020-11-28,1,4.5 - 5.0,1310
10,1955,Ford,Escape,2018,JDT-8776,4.97,2019-06-30,1,4.5 - 5.0,1827
11,97,Ford,Fusion,2015,DHP-4368,4.18,2020-08-13,1,4.0 - 4.5,1417
12,286,Subaru,Crosstrek,2016,PCG-7938,4.71,2022-02-23,1,4.5 - 5.0,858
13,941,Mazda,CX-9,2022,CWU-2740,3.64,2021-12-23,1,3.5 - 4.0,920
14,1197,Honda,Accord,2020,TDJ-4599,3.77,2022-04-12,1,3.5 - 4.0,810
15,585,Chevrolet,Equinox,2022,FAT-3618,4.7,2021-06-12,1,4.5 - 5.0,1114
16,1547,Mazda,Mazda6,2023,YNJ-1166,4.63,2020-04-07,1,4.5 - 5.0,1545
17,602,Mazda,MX-5,2018,WGZ-9299,4.2,2020-03-05,1,4.0 - 4.5,1578
18,908,Nissan,Altima,2013,GPH-9690,3.72,2020-04-24,1,3.5 - 4.0,1528
19,1590,Chevrolet,Silverado,2014,RKE-8092,3.69,2023-07-24,1,3.5 - 4.0,342
20,1196,Tesla,Model Y,2015,LSU-0131,4.21,2023-02-12,1,4.0 - 4.5,504
21,117,Subaru,Impreza,2013,NQD-8778,3.56,2020-11-05,1,3.5 - 4.0,1333
22,179,Honda,Pilot,2018,QXS-7721,4.4,2022-10-09,1,4.0 - 4.5,630
23,705,Hyundai,Elantra,2022,MSL-0178,4.86,2023-01-02,1,4.5 - 5.0,545
24,136,Mazda,CX-5,2018,SGJ-0745,4.15,2020-11-26,1,4.0 - 4.5,1312
25,1477,Honda,Pilot,2020,QPQ-8601,4.46,2019-12-19,1,4.0 - 4.5,1655
26,948,Tesla,Model 3,2013,ZFP-7687,3.6,2021-11-18,0,3.5 - 4.0,955
27,436,Subaru,Crosstrek,2020,AKV-7492,4.45,2021-04-04,1,4.0 - 4.5,1183
28,1965,Honda,CR-V,2018,VTW-2839,4.17,2019-09-06,1,4.0 - 4.5,1759
29,1248,Hyundai,Santa Fe,2023,ZGV-2753,4.02,2023-12-27,1,4.0 - 4.5,186
30,199,Ford,Explorer,2013,JQT-8281,4.46,2021-03-02,1,4.0 - 4.5,1216
31,1828,Tesla,Model X,2022,EKG-7388,4.94,2021-03-23,1,4.5 - 5.0,1195
32,40,Toyota,Camry,2015,PXS-5753,3.8,2019-12-03,1,3.5 - 4.0,1671
33,327,Tesla,Model X,2016,DJJ-1387,4.7,2022-11-08,1,4.5 - 5.0,600
34,1001,Tesla,Model 3,2017,ZLA-5624,4.97,2020-10-15,1,4.5 - 5.0,1354
35,256,Chevrolet,Silverado,2022,VDH-9844,5.0,2020-06-28,1,4.5 - 5.0,1463
36,1438,Kia,Soul,2020,PRX-9779,3.9,2021-06-28,1,3.5 - 4.0,1098
37,430,Hyundai,Elantra,2017,NBS-3877,3.64,2023-10-24,1,3.5 - 4.0,250
38,498,Mazda,CX-9,2020,HVQ-7765,4.2,2022-08-20,1,4.0 - 4.5,680
39,1700,Toyota,Prius,2021,LQB-9046,4.21,2023-05-17,1,4.0 - 4.5,410
40,1170,Ford,Fusion,2022,JYG-2805,4.65,2020-02-29,1,4.5 - 5.0,1583
41,55,Kia,Soul,2022,LNS-3589,4.31,2023-03-27,1,4.0 - 4.5,461
42,630,Tesla,Model S,2012,ZBU-5700,3.74,2020-07-03,1,3.5 - 4.0,1458
43,1352,Chevrolet,Impala,2014,WAY-7304,4.53,2023-12-05,1,4.5 - 5.0,208
44,284,Kia,Sportage,2023,MWE-3142,2.94,2020-07-15,0,Below 3.5,1446
45,1519,Chevrolet,Traverse,2022,RJU-5069,3.13,2020-05-11,0,Below 3.5,1511
46,834,Toyota,Highlander,2012,AKA-9589,4.43,2020-06-07,1,4.0 - 4.5,1484
47,1041,Mazda,Mazda6,2017,CSD-3148,4.26,2023-12-24,1,4.0 - 4.5,189
48,1763,Subaru,Outback,2021,ANY-9832,3.77,2022-04-27,1,3.5 - 4.0,795
49,608,Ford,Fusion,2019,EDQ-3468,4.92,2023-03-01,1,4.5 - 5.0,487
50,1471,Mazda,Mazda3,2017,FDZ-4700,4.22,2023-02-10,1,4.0 - 4.5,506
51,822,Tesla,Model 3,2020,CRX-5757,3.92,2020-03-04,1,3.5 - 4.0,1579
52,742,Subaru,Forester,2016,YLL-0015,3.96,2023-10-28,1,3.5 - 4.0,246
53,789,Nissan,Altima,2020,VEC-8751,3.57,2019-07-28,1,3.5 - 4.0,1799
54,867,Toyota,RAV4,2018,EZB-8875,4.06,2023-05-02,1,4.0 - 4.5,425
55,1575,Toyota,Corolla,2013,LEF-3745,3.57,2021-07-21,1,3.5 - 4.0,1075
56,919,Chevrolet,Malibu,2016,AFV-8998,4.76,2019-08-31,1,4.5 - 5.0,1765
57,1181,Ford,F-150,2021,FSX-4586,4.82,2023-07-18,1,4.5 - 5.0,348
58,1150,Nissan,Pathfinder,2023,AVK-8172,3.68,2019-08-25,0,3.5 - 4.0,1771
59,1430,Subaru,Forester,2022,SBC-1705,4.61,2023-03-26,1,4.5 - 5.0,462
60,314,Kia,Sorento,2020,GWG-7382,3.94,2020-07-16,0,3.5 - 4.0,1445
61,66,Ford,Mustang,2012,MCF-8178,4.42,2021-11-14,1,4.0 - 4.5,959
62,1972,Ford,Explorer,2021,URN-9770,2.76,2020-10-26,0,Below 3.5,1343
63,351,Ford,Escape,2019,ERK-1201,4.49,2021-11-15,1,4.0 - 4.5,958
64,1672,Toyota,Prius,2013,WQG-1531,3.38,2019-07-06,0,Below 3.5,1821
65,1437,Tesla,Model Y,2023,YJD-1235,4.65,2020-02-01,1,4.5 - 5.0,1611
66,201,Chevrolet,Malibu,2021,PAV-4536,4.87,2020-09-29,1,4.5 - 5.0,1370
67,959,Subaru,Crosstrek,2016,JZL-9153,4.46,2020-05-23,1,4.0 - 4.5,1499
68,1825,Kia,Sorento,2014,JAV-1475,4.1,2022-12-05,1,4.0 - 4.5,573
69,986,Hyundai,Elantra,2018,LLT-4333,4.58,2020-07-26,1,4.5 - 5.0,1435
70,782,Chevrolet,Equinox,2023,EEW-6695,4.11,2023-01-09,1,4.0 - 4.5,538
71,1517,Nissan,Sentra,2018,DCR-3876,2.87,2022-07-04,0,Below 3.5,727
72,1492,Ford,Explorer,2020,LYA-2519,4.65,2023-01-04,1,4.5 - 5.0,543
73,759,Kia,Stinger,2015,DHF-7746,4.3,2022-12-08,1,4.0 - 4.5,570
74,1084,Toyota,Camry,2013,CAW-0839,3.73,2020-08-10,1,3.5 - 4.0,1420
75,1324,Nissan,Altima,2017,QHX-4313,3.74,2020-04-07,1,3.5 - 4.0,1545
76,1301,Ford,Explorer,2013,NQD-5496,4.96,2023-02-19,1,4.5 - 5.0,497
77,434,Ford,Explorer,2013,UDK-3106,4.9,2022-09-10,1,4.5 - 5.0,659
78,218,Tesla,Model Y,2019,XZY-5898,2.73,2021-02-04,0,Below 3.5,1242
79,1687,Kia,Soul,2013,ZUS-9379,3.52,2023-11-24,0,3.5 - 4.0,219
80,1814,Subaru,Outback,2021,XLE-8125,4.23,2020-05-07,1,4.0 - 4.5,1515
81,512,Toyota,Corolla,2023,HLL-0774,3.44,2020-02-23,0,Below 3.5,1589
82,1328,Tesla,Model 3,2023,PHE-4362,4.05,2022-04-15,1,4.0 - 4.5,807
83,7,Kia,Sportage,2023,JYT-5429,3.63,2023-02-24,1,3.5 - 4.0,492
84,1699,Hyundai,Ioniq,2013,ADU-2105,3.63,2019-11-02,1,3.5 - 4.0,1702
85,1937,Toyota,Camry,2023,VWQ-1684,4.68,2020-01-03,1,4.5 - 5.0,1640
86,741,Tesla,Model 3,2012,SET-0090,3.85,2019-09-11,1,3.5 - 4.0,1754
87,194,Honda,Pilot,2017,REV-7474,4.39,2019-10-04,1,4.0 - 4.5,1731
88,1941,Subaru,Forester,2020,AEE-1596,3.61,2020-06-18,1,3.5 - 4.0,1473
89,868,Hyundai,Elantra,2014,KWH-4622,3.86,2019-06-15,1,3.5 - 4.0,1842
90,119,Nissan,Rogue,2014,BBJ-7680,4.57,2019-06-25,1,4.5 - 5.0,1832
91,1812,Honda,CR-V,2021,UXS-6957,4.04,2023-12-17,1,4.0 - 4.5,196
92,549,Subaru,Impreza,2019,HMP-7216,4.82,2021-03-26,1,4.5 - 5.0,1192
93,1286,Kia,Sportage,2019,LDU-4013,4.45,2021-08-27,1,4.0 - 4.5,1038
94,1088,Hyundai,Sonata,2018,URE-5103,4.01,2019-07-15,1,4.0 - 4.5,1812
95,1558,Subaru,Legacy,2014,HYP-2474,3.74,2023-02-23,1,3.5 - 4.0,493
96,1654,Toyota,RAV4,2013,BHM-2298,3.52,2021-02-20,1,3.5 - 4.0,1226
97,1574,Ford,Escape,2022,HQQ-5533,3.69,2022-08-01,1,3.5 - 4.0,699
98,1105,Subaru,Outback,2012,LLF-3283,4.96,2023-10-29,1,4.5 - 5.0,245
99,947,Nissan,Maxima,2017,PHE-1369,4.39,2020-09-28,1,4.0 - 4.5,1371
100,1403,Chevrolet,Silverado,2021,MAN-0760,4.4,2023-06-30,1,4.0 - 4.5,366
101,736,Nissan,Altima,2019,KEU-7374,3.5,2021-05-30,1,Below 3.5,1127
102,974,Tesla,Model X,2020,DGH-9658,4.94,2022-10-06,1,4.5 - 5.0,633
103,120,Tesla,Model 3,2016,TTE-7274,3.52,2020-11-16,1,3.5 - 4.0,1322
104,1584,Chevrolet,Equinox,2016,ARU-0491,4.33,2022-09-29,1,4.0 - 4.5,640
105,366,Subaru,Impreza,2013,YLE-6253,2.59,2021-03-30,0,Below 3.5,1188
106,1794,Mazda,CX-9,2017,DVK-0431,4.64,2023-01-09,1,4.5 - 5.0,538
107,1053,Nissan,Rogue,2021,UAN-7749,3.65,2020-04-30,1,3.5 - 4.0,1522
108,539,Chevrolet,Malibu,2017,ZJK-7455,4.09,2020-04-13,1,4.0 - 4.5,1539
109,1538,Mazda,Mazda3,2015,LCX-2265,3.93,2020-09-04,0,3.5 - 4.0,1395
110,472,Subaru,Outback,2012,FFD-8537,3.53,2023-09-15,1,3.5 - 4.0,289
111,1974,Nissan,Pathfinder,2012,SSP-0525,3.69,2022-09-04,0,3.5 - 4.0,665
112,1987,Hyundai,Ioniq,2014,KDA-6623,4.75,2023-08-23,1,4.5 - 5.0,312
113,1509,Tesla,Model S,2017,EXK-6449,4.66,2020-07-24,1,4.5 - 5.0,1437
114,1023,Ford,Fusion,2012,KCY-2772,3.82,2022-09-27,1,3.5 - 4.0,642
115,1755,Nissan,Rogue,2019,BRP-8253,3.77,2021-04-14,1,3.5 - 4.0,1173
116,1035,Chevrolet,Silverado,2023,KHZ-6145,4.98,2020-10-21,1,4.5 - 5.0,1348
117,929,Honda,Odyssey,2013,XWQ-8993,4.35,2020-04-22,1,4.0 - 4.5,1530
118,52,Honda,Accord,2017,FEL-8040,4.85,2021-02-08,1,4.5 - 5.0,1238
119,1233,Ford,Escape,2019,YXV-2976,4.08,2022-01-31,0,4.0 - 4.5,881
120,1100,Ford,Fusion,2013,CFW-5527,4.6,2020-04-09,1,4.5 - 5.0,1543
121,390,Chevrolet,Malibu,2018,SAM-8495,2.61,2023-09-24,0,Below 3.5,280
122,1783,Nissan,Rogue,2023,MVA-2824,3.61,2022-07-28,0,3.5 - 4.0,703
123,335,Kia,Stinger,2023,MFW-0354,3.75,2023-02-08,1,3.5 - 4.0,508
124,162,Hyundai,Ioniq,2020,DTJ-1443,4.72,2023-08-18,1,4.5 - 5.0,317
125,1981,Subaru,Crosstrek,2018,JLQ-8334,4.79,2020-05-02,1,4.5 - 5.0,1520
126,324,Toyota,RAV4,2020,YZD-3678,4.97,2023-11-09,1,4.5 - 5.0,234
127,1968,Chevrolet,Silverado,2013,VXZ-5552,4.91,2023-07-24,1,4.5 - 5.0,342
128,1237,Chevrolet,Traverse,2019,CTV-5363,4.62,2023-04-09,1,4.5 - 5.0,448
129,44,Honda,Civic,2022,RDS-7789,4.24,2019-10-26,1,4.0 - 4.5,1709
130,508,Nissan,Sentra,2018,HFR-9102,4.74,2023-03-25,1,4.5 - 5.0,463
