payment_id,trip_id,amount,method,status,paid_at
1,1,68.55,wallet,success,2024-06-24 14:24:15
2,3,6.36,wallet,success,2023-08-17 09:36:16
3,4,21.98,cash,success,2022-11-21 10:17:36
4,5,56.99,wallet,success,2022-01-15 14:57:02
5,6,55.56,cash,success,2022-05-05 08:34:02
6,8,8.7,cash,success,2023-04-17 10:28:36
7,9,24.05,cash,success,2022-09-09 23:27:45
8,10,38.96,cash,success,2022-06-13 10:41:38
9,12,29.55,wallet,success,2024-02-27 11:31:44
10,13,4.53,wallet,success,2023-06-26 23:10:51
11,14,45.92,cash,success,2024-03-17 21:48:53
12,15,21.51,cash,success,2023-08-05 22:03:20
13,17,53.83,card,success,2023-09-25 01:50:20
14,18,82.72,cash,success,2022-08-11 07:48:07
15,19,37.57,card,success,2024-05-29 06:28:53
16,20,30.33,cash,success,2023-09-01 15:28:42
17,21,42.64,cash,success,2023-02-16 13:20:12
18,22,28.49,card,success,2024-03-19 06:06:54
19,23,7.42,cash,success,2023-04-16 05:02:10
20,24,61.41,card,success,2023-09-09 14:42:11
21,25,41.07,wallet,success,2023-05-22 12:14:46
22,26,62.54,wallet,success,2024-05-29 02:31:14
23,27,21.31,cash,success,2024-05-31 10:09:52
24,28,28.91,cash,success,2022-01-13 23:41:47
25,30,67.74,cash,refunded,2024-01-30 19:43:47
26,31,41.81,card,refunded,2023-02-23 00:19:48
27,32,20.19,cash,failed,2023-11-26 21:32:29
28,33,21.7,card,success,2024-04-23 07:15:34
29,34,24.71,cash,success,2024-04-10 23:30:34
30,35,29.21,cash,success,2022-12-22 22:45:52
31,36,27.87,cash,success,2023-12-17 02:04:37
32,38,18.47,card,success,2022-12-19 09:43:28
33,39,63.39,cash,success,2024-02-25 08:54:31
34,40,62.73,card,success,2022-11-24 19:48:12
35,41,125.25,cash,success,2023-12-15 20:14:10
36,42,21.79,card,success,2022-09-04 04:02:03
37,43,77.03,cash,success,2023-11-30 08:26:32
38,44,40.49,cash,success,2023-06-17 06:14:10
39,45,8.49,wallet,success,2023-09-23 20:42:10
40,46,30.2,cash,success,2024-04-09 11:41:09
41,47,56.01,cash,success,2023-03-23 00:01:13
42,48,30.07,card,success,2023-09-22 23:07:48
43,49,31.55,wallet,success,2022-12-25 18:11:31
44,50,8.37,card,success,2022-08-19 09:32:37
45,51,38.16,wallet,success,2024-02-03 07:06:16
46,52,28.17,card,success,2022-12-04 18:46:48
47,53,36.64,card,success,2023-10-11 05:33:43
48,54,28.26,card,success,2022-01-31 21:48:02
49,55,13.41,cash,success,2022-08-11 13:04:08
50,56,9.56,card,success,2023-12-03 13:32:54
51,57,8.86,wallet,success,2023-01-22 04:02:51
52,58,15.62,card,success,2024-06-05 21:13:25
53,59,35.18,wallet,success,2022-10-12 15:50:55
54,60,98.77,card,success,2024-01-18 20:43:08
55,61,35.09,cash,success,2023-04-27 22:41:22
56,62,44.15,cash,success,2023-08-05 12:04:41
57,64,4.61,wallet,success,2023-02-19 10:16:55
58,65,6.18,card,success,2023-04-20 15:48:17
59,66,42.5,wallet,success,2024-01-26 11:46:36
60,67,43.38,card,success,2023-06-27 15:32:33
61,68,24.41,cash,success,2023-06-02 14:34:37
62,69,15.94,cash,success,2024-03-10 22:26:50
63,70,45.38,card,success,2022-04-26 16:05:19
64,71,53.66,wallet,success,2023-11-09 01:15:31
65,72,7.96,cash,success,2023-10-15 12:00:46
66,73,6.75,wallet,success,2022-02-28 22:43:50
67,74,42.17,wallet,success,2024-03-08 15:28:44
68,76,28.25,wallet,success,2022-03-13 02:06:56
69,78,12.93,cash,success,2023-03-28 02:40:18
70,79,9.61,wallet,success,2022-12-11 18:55:52
71,80,14.09,wallet,success,2023-03-18 06:44:58
72,81,15.12,card,success,2024-03-11 04:56:20
73,82,41.21,cash,success,2023-11-01 17:35:11
74,84,7.75,wallet,success,2023-05-30 15:07:06
75,85,6.62,cash,success,2024-05-15 14:32:03
76,86,118.25,cash,success,2022-08-12 01:36:05
77,87,48.87,wallet,success,2023-04-05 12:53:35
78,90,38.36,wallet,success,2023-05-02 01:22:37
79,92,63.58,cash,success,2022-06-05 00:40:27
80,93,27.21,cash,success,2022-07-17 22:21:24
81,95,5.77,card,success,2022-01-19 14:32:00
82,96,57.02,card,success,2024-03-30 00:12:16
83,98,8.22,cash,success,2022-08-20 17:50:42
84,100,27.42,cash,success,2022-07-09 04:57:32
85,101,44.88,wallet,success,2022-05-24 17:33:25
86,102,43.16,card,success,2022-08-11 04:55:33
87,104,16.15,wallet,success,2023-06-15 23:50:23
88,105,18.67,cash,success,2022-03-01 21:59:15
89,106,7.71,cash,success,2023-12-14 16:31:04
90,107,22.54,cash,success,2022-08-25 20:47:12
91,108,38.2,cash,success,2023-02-17 12:36:52
92,109,24.58,cash,success,2022-06-15 12:35:51
93,110,39.31,card,success,2023-08-22 14:14:33
94,111,49.54,card,success,2023-06-25 03:32:57
95,112,12.31,card,success,2023-09-23 18:52:24
96,113,12.99,wallet,success,2022-04-06 10:40:24
97,114,47.93,card,success,2023-02-27 00:14:44
98,115,4.43,cash,success,2023-12-29 20:20:58
99,116,44.62,cash,success,2023-11-21 23:48:26
100,117,17.52,cash,success,2022-02-06 17:16:03
