review_id,trip_id,reviewer_id,reviewee_id,rating,comment,reviewed_at,review_month
1,1,1958,1001,4,Very comfortable ride.,2024-06-24 14:52:11,2024-06
2,1,1001,1958,4,Super friendly and helpful.,2024-06-24 16:09:11,2024-06
3,3,324,373,4,Very clean car.,2023-08-17 11:08:06,2023-08
4,4,373,5,4,,2022-11-21 11:30:31,2022-11
5,5,680,1356,3,,2022-01-15 15:25:56,2022-01
6,10,680,690,4,,2022-06-13 11:02:29,2022-06
7,13,553,680,3,"Great driver, very professional!",2023-06-27 01:25:43,2023-06
8,14,680,1649,3,Fine driver.,2024-03-17 22:45:46,2024-03
9,18,1970,833,5,Fast and safe driver.,2022-08-11 08:39:45,2022-08
10,20,1970,1301,4,,2023-09-01 16:57:27,2023-09
11,20,1301,1970,4,,2023-09-01 15:36:27,2023-09
12,23,1970,1623,3,,2023-04-16 05:10:04,2023-04
13,24,1970,1956,3,,2023-09-09 16:40:07,2023-09
14,25,1970,1606,3,,2023-05-22 12:58:26,2023-05
15,25,1606,1970,2,Super friendly and helpful.,2023-05-22 12:59:26,2023-05
16,26,1443,1970,3,Super friendly and helpful.,2024-05-29 05:10:02,2024-05
17,27,1970,199,4,,2024-05-31 11:25:24,2024-05
18,27,199,1970,3,Super friendly and helpful.,2024-05-31 12:45:24,2024-05
19,30,1970,1437,3,,2024-01-30 20:27:32,2024-01
20,32,1970,811,4,,2023-11-26 22:07:02,2023-11
21,33,1970,1562,4,,2024-04-23 07:41:24,2024-04
22,35,1970,334,3,Nothing to complain about.,2022-12-22 23:24:45,2022-12
23,36,748,1970,3,Super friendly and helpful.,2023-12-17 02:44:16,2023-12
24,38,1970,1210,4,"Great rider, very polite.",2022-12-19 10:30:01,2022-12
25,40,1970,164,4,Fast and safe driver.,2022-11-24 21:42:11,2022-11
26,41,1970,1135,3,Nothing to complain about.,2023-12-15 22:06:40,2023-12
27,43,1970,1492,3,Trip was okay.,2023-11-30 08:43:30,2023-11
28,43,1492,1970,3,Very clean car.,2023-11-30 10:10:30,2023-11
29,44,1970,162,5,Car was spotless.,2023-06-17 06:56:47,2023-06
30,46,1970,1590,3,,2024-04-09 13:08:41,2024-04
31,48,1970,728,4,"Great rider, very polite.",2023-09-23 00:44:25,2023-09
32,49,1970,1380,4,,2022-12-25 18:26:10,2022-12
33,50,1970,1548,4,,2022-08-19 10:13:27,2022-08
34,51,677,1970,4,Super friendly and helpful.,2024-02-03 07:37:07,2024-02
35,53,1302,1970,3,"Smooth ride, on time.",2023-10-11 06:36:32,2023-10
36,54,1970,1830,3,Trip was okay.,2022-01-31 22:08:45,2022-01
37,55,619,898,4,,2022-08-11 15:02:47,2022-08
38,56,436,619,5,Super friendly and helpful.,2023-12-03 14:30:41,2023-12
39,57,619,1651,4,,2023-01-22 05:26:40,2023-01
40,59,619,1023,4,,2022-10-12 16:00:43,2022-10
41,61,619,1196,4,,2023-04-27 23:18:10,2023-04
42,62,619,1955,5,,2023-08-05 13:01:16,2023-08
43,64,619,1623,3,,2023-02-19 10:32:25,2023-02
44,66,1617,1653,3,Fine driver.,2024-01-26 13:09:14,2024-01
45,68,1617,485,4,,2023-06-02 14:48:32,2023-06
46,68,485,1617,3,"Smooth ride, on time.",2023-06-02 17:22:32,2023-06
47,69,1617,1206,4,Car was spotless.,2024-03-11 00:21:21,2024-03
48,69,1206,1617,4,"Great driver, very professional!",2024-03-10 22:39:21,2024-03
49,70,1617,1041,2,,2022-04-26 16:57:52,2022-04
50,70,1041,1617,3,"Smooth ride, on time.",2022-04-26 16:28:52,2022-04
51,71,1617,44,5,"5 stars, highly recommend!",2023-11-09 01:56:17,2023-11
52,72,1617,1702,4,Very courteous driver.,2023-10-15 13:50:17,2023-10
53,73,1617,97,4,Super friendly and helpful.,2022-02-28 23:55:50,2022-02
54,73,97,1617,4,Very clean car.,2022-03-01 00:44:50,2022-03
55,74,1617,868,4,,2024-03-08 16:15:20,2024-03
56,76,1693,1617,3,Very clean car.,2022-03-13 02:30:54,2022-03
57,78,1617,1371,4,,2023-03-28 04:37:04,2023-03
58,79,1617,1131,3,,2022-12-11 19:54:48,2022-12
59,80,1617,1141,4,,2023-03-18 07:44:39,2023-03
60,81,1617,585,4,,2024-03-11 05:20:01,2024-03
61,81,585,1617,4,"Excellent service, will ride again.",2024-03-11 05:46:01,2024-03
62,82,1817,327,4,Very comfortable ride.,2023-11-01 19:00:45,2023-11
63,84,1817,510,4,,2023-05-30 15:36:58,2023-05
64,84,510,1817,3,"Great driver, very professional!",2023-05-30 16:53:58,2023-05
65,86,475,1091,4,Very comfortable ride.,2022-08-12 03:18:01,2022-08
66,86,1091,475,4,Very clean car.,2022-08-12 02:05:01,2022-08
67,87,475,1776,3,,2023-04-05 14:03:12,2023-04
68,90,679,318,4,,2023-05-02 01:33:21,2023-05
69,90,318,679,2,"Excellent service, will ride again.",2023-05-02 02:46:21,2023-05
70,92,679,1011,4,Super friendly and helpful.,2022-06-05 02:34:20,2022-06
71,93,679,5,3,,2022-07-17 22:52:14,2022-07
72,95,1127,2,5,,2022-01-19 15:07:44,2022-01
73,95,2,1127,4,"Excellent service, will ride again.",2022-01-19 15:10:44,2022-01
74,98,1437,1500,4,,2022-08-20 18:44:25,2022-08
75,100,1500,515,4,"5 stars, highly recommend!",2022-07-09 05:35:15,2022-07
76,101,327,1500,3,"Smooth ride, on time.",2022-05-24 19:49:17,2022-05
77,104,5,1500,4,Very clean car.,2023-06-16 00:21:07,2023-06
78,105,1500,542,3,Nothing to complain about.,2022-03-01 23:00:14,2022-03
79,106,448,1500,4,Super friendly and helpful.,2023-12-14 17:42:01,2023-12
80,107,1500,1987,4,"Great driver, very professional!",2022-08-25 22:00:05,2022-08
81,107,1987,1500,3,"Great driver, very professional!",2022-08-25 21:18:05,2022-08
82,110,1500,458,3,,2023-08-22 14:54:08,2023-08
83,111,212,1497,4,"5 stars, highly recommend!",2023-06-25 04:37:34,2023-06
84,112,421,40,3,Acceptable ride.,2023-09-23 20:38:23,2023-09
85,112,40,421,3,"Smooth ride, on time.",2023-09-23 20:42:23,2023-09
86,113,421,24,4,"Great driver, very professional!",2022-04-06 11:11:56,2022-04
87,113,24,421,4,"Excellent service, will ride again.",2022-04-06 12:47:56,2022-04
