rider_id,user_id,rating,total_trips,created_at
1,1958,4.66,1,2020-09-13 01:52:12
2,373,3.76,2,2019-11-03 13:23:24
3,680,3.03,8,2020-01-23 08:54:39
4,1190,3.31,1,2019-11-06 23:53:19
5,1970,3.71,36,2023-09-17 01:02:59
6,619,3.44,9,2023-10-01 12:03:44
7,1617,4.36,15,2024-05-17 22:17:03
8,1817,4.92,2,2019-10-06 12:05:05
9,475,4.93,3,2023-03-12 16:22:52
10,679,4.33,3,2024-05-12 04:06:12
11,1127,3.87,1,2021-03-25 10:27:12
12,1500,4.07,12,2021-03-13 10:03:20
13,212,4.56,1,2023-01-26 13:47:03
14,421,3.4,25,2022-10-07 03:51:26
15,1409,4.51,1,2020-02-12 01:52:03
16,551,3.29,12,2020-11-04 05:38:50
17,455,4.96,3,2020-04-19 15:04:42
18,907,3.28,14,2020-05-16 09:47:55
19,1568,4.84,1,2023-04-29 09:56:25
20,309,3.03,11,2019-11-26 17:40:08
21,1056,4.51,17,2021-06-26 07:51:04
22,308,3.51,11,2020-04-23 08:44:09
23,310,3.69,2,2023-10-25 17:30:05
24,507,3.31,1,2024-05-15 11:46:12
25,610,4.72,1,2020-07-09 00:13:49
26,1697,4.47,12,2022-01-04 00:41:19
27,409,3.81,1,2022-03-17 09:09:59
28,1270,3.37,14,2024-04-03 20:22:53
29,1946,4.99,3,2021-11-14 16:20:50
30,1021,3.42,13,2019-06-03 04:44:26
31,391,4.8,5,2021-01-22 14:57:34
32,1062,4.67,4,2024-05-28 05:13:21
33,482,4.58,4,2023-01-27 13:03:16
34,851,4.73,1,2021-01-30 01:50:12
35,381,3.13,2,2019-12-23 11:39:43
36,1553,4.06,5,2021-04-23 16:41:05
37,1929,3.79,18,2023-03-08 21:29:56
38,417,3.55,16,2021-01-04 04:54:21
39,651,3.01,8,2021-09-06 11:08:23
40,1592,3.46,4,2023-10-03 09:53:47
41,627,4.9,3,2020-01-15 02:49:04
42,1923,4.31,1,2021-10-03 12:07:27
43,217,3.3,1,2019-08-11 21:06:20
44,1149,3.44,1,2022-04-12 07:01:49
45,1330,3.35,0,2019-06-28 02:58:40
