trip_id,rider_id,driver_id,pickup_location_id,dropoff_location_id,requested_at,started_at,completed_at,status,distance_km,duration_mins,base_fare,surge_multiplier,total_fare,payment_method
1,1,34,26,29,"2024-06-24 12:20:11","2024-06-24 12:29:11","2024-06-24 14:24:11",completed,39.14,115,68.55,1,68.55,wallet
2,2,185,18,12,"2024-01-25 20:52:28","2024-01-25 20:54:28",NULL,cancelled,9.53,22,17.38,1,17.38,wallet
3,2,126,13,15,"2023-08-17 09:30:06","2023-08-17 09:32:06","2023-08-17 09:36:06",completed,2.78,4,6.36,1,6.36,wallet
4,2,255,10,6,"2022-11-21 09:53:31","2022-11-21 09:58:31","2022-11-21 10:17:31",completed,14.25,19,21.98,1,21.98,cash
5,3,186,37,31,"2022-01-15 14:04:56","2022-01-15 14:12:56","2022-01-15 14:56:56",completed,41.54,44,56.99,1,56.99,wallet
6,3,370,18,14,"2022-05-05 07:41:36","2022-05-05 07:53:36","2022-05-05 08:33:36",completed,22.63,40,35.39,1.57,55.56,cash
7,3,234,27,28,"2023-06-02 19:28:48","2023-06-02 19:37:48",NULL,cancelled,27.77,58,44.65,1.67,74.57,wallet
8,3,116,9,1,"2023-04-17 10:12:10","2023-04-17 10:21:10","2023-04-17 10:28:10",completed,4.36,7,8.7,1,8.7,cash
9,3,9,16,15,"2022-09-09 23:10:38","2022-09-09 23:19:38","2022-09-09 23:27:38",completed,4.28,8,8.81,2.73,24.05,cash
10,3,319,7,2,"2022-06-13 09:37:29","2022-06-13 09:40:29","2022-06-13 10:41:29",completed,22.05,61,38.96,1,38.96,cash
11,3,147,36,37,"2023-06-15 09:04:43","2023-06-15 09:13:43",NULL,in_progress,21.92,61,38.81,1,38.81,cash
12,3,275,14,15,"2024-02-27 10:58:18","2024-02-27 11:05:18","2024-02-27 11:31:18",completed,19.86,26,29.55,1,29.55,wallet
13,3,208,17,19,"2023-06-26 22:59:43","2023-06-26 23:07:43","2023-06-26 23:10:43",completed,1.3,3,4.53,1,4.53,wallet
14,3,343,2,4,"2024-03-17 20:44:46","2024-03-17 20:48:46","2024-03-17 21:48:46",completed,28.56,60,45.92,1,45.92,cash
15,4,349,38,40,"2023-08-05 21:32:58","2023-08-05 21:41:58","2023-08-05 22:02:58",completed,13.46,21,21.51,1,21.51,cash
16,5,238,8,2,"2022-05-13 15:54:17","2022-05-13 15:56:17",NULL,cancelled,30.32,40,43.85,1,43.85,wallet
17,5,241,33,31,"2023-09-25 01:05:14","2023-09-25 01:15:14","2023-09-25 01:50:14",completed,40.3,35,53.83,1,53.83,card
