trip_id,rider_id,driver_id,pickup_location_id,dropoff_location_id,requested_at,started_at,completed_at,status,distance_km,duration_mins,base_fare,surge_multiplier,total_fare,payment_method,hour,day_of_week,month,year,is_weekend,wait_time_mins,fare_per_km,surge_tier,fare_bucket
1,1,34,26,29,2024-06-24 12:20:11,2024-06-24 12:29:11,2024-06-24 14:24:11,completed,39.14,115,68.55,1.0,68.55,wallet,12,Monday,2024-06,2024,False,9.0,1.7514052120592742,No Surge,$50–$100
3,2,126,13,15,2023-08-17 09:30:06,2023-08-17 09:32:06,2023-08-17 09:36:06,completed,2.78,4,6.36,1.0,6.36,wallet,9,Thursday,2023-08,2023,False,2.0,2.2877697841726623,No Surge,Under $10
4,2,255,10,6,2022-11-21 09:53:31,2022-11-21 09:58:31,2022-11-21 10:17:31,completed,14.25,19,21.98,1.0,21.98,cash,9,Monday,2022-11,2022,False,5.0,1.5424561403508772,No Surge,$10–$25
5,3,186,37,31,2022-01-15 14:04:56,2022-01-15 14:12:56,2022-01-15 14:56:56,completed,41.54,44,56.99,1.0,56.99,wallet,14,Saturday,2022-01,2022,True,8.0,1.3719306692344728,No Surge,$50–$100
6,3,370,18,14,2022-05-05 07:41:36,2022-05-05 07:53:36,2022-05-05 08:33:36,completed,22.63,40,35.39,1.57,55.56,cash,7,Thursday,2022-05,2022,False,12.0,2.455148033583739,High Surge,$50–$100
8,3,116,9,1,2023-04-17 10:12:10,2023-04-17 10:21:10,2023-04-17 10:28:10,completed,4.36,7,8.7,1.0,8.7,cash,10,Monday,2023-04,2023,False,9.0,1.995412844036697,No Surge,Under $10
9,3,9,16,15,2022-09-09 23:10:38,2022-09-09 23:19:38,2022-09-09 23:27:38,completed,4.28,8,8.81,2.73,24.05,cash,23,Friday,2022-09,2022,False,9.0,5.619158878504673,High Surge,$10–$25
10,3,319,7,2,2022-06-13 09:37:29,2022-06-13 09:40:29,2022-06-13 10:41:29,completed,22.05,61,38.96,1.0,38.96,cash,9,Monday,2022-06,2022,False,3.0,1.7668934240362812,No Surge,$25–$50
12,3,275,14,15,2024-02-27 10:58:18,2024-02-27 11:05:18,2024-02-27 11:31:18,completed,19.86,26,29.55,1.0,29.55,wallet,10,Tuesday,2024-02,2024,False,7.0,1.487915407854985,No Surge,$25–$50
13,3,208,17,19,2023-06-26 22:59:43,2023-06-26 23:07:43,2023-06-26 23:10:43,completed,1.3,3,4.53,1.0,4.53,wallet,22,Monday,2023-06,2023,False,8.0,3.4846153846153847,No Surge,Under $10
14,3,343,2,4,2024-03-17 20:44:46,2024-03-17 20:48:46,2024-03-17 21:48:46,completed,28.56,60,45.92,1.0,45.92,cash,20,Sunday,2024-03,2024,True,4.0,1.607843137254902,No Surge,$25–$50
15,4,349,38,40,2023-08-05 21:32:58,2023-08-05 21:41:58,2023-08-05 22:02:58,completed,13.46,21,21.51,1.0,21.51,cash,21,Saturday,2023-08,2023,True,9.0,1.598068350668648,No Surge,$10–$25
17,5,241,33,31,2023-09-25 01:05:14,2023-09-25 01:15:14,2023-09-25 01:50:14,completed,40.3,35,53.83,1.0,53.83,card,1,Monday,2023-09,2023,False,10.0,1.3357320099255583,No Surge,$50–$100
18,5,275,14,11,2022-08-11 07:03:45,2022-08-11 07:08:45,2022-08-11 07:47:45,completed,30.64,39,44.0,1.88,82.72,cash,7,Thursday,2022-08,2022,False,5.0,2.699738903394256,High Surge,$50–$100
19,5,323,21,27,2024-05-29 05:57:50,2024-05-29 06:03:50,2024-05-29 06:28:50,completed,27.34,25,37.57,1.0,37.57,card,5,Wednesday,2024-05,2024,False,6.0,1.3741770299926848,No Surge,$25–$50
20,5,76,38,39,2023-09-01 14:54:27,2023-09-01 15:01:27,2023-09-01 15:28:27,completed,20.39,27,30.33,1.0,30.33,cash,14,Friday,2023-09,2023,False,7.0,1.487493869543894,No Surge,$25–$50
21,5,285,21,27,2023-02-16 12:13:42,2023-02-16 12:19:42,2023-02-16 13:19:42,completed,25.58,60,42.64,1.0,42.64,cash,12,Thursday,2023-02,2023,False,6.0,1.6669272869429244,No Surge,$25–$50
22,5,100,22,30,2024-03-19 05:31:27,2024-03-19 05:33:27,2024-03-19 06:06:27,completed,17.63,33,28.49,1.0,28.49,card,5,Tuesday,2024-03,2024,False,2.0,1.6159954622802042,No Surge,$25–$50
23,5,132,8,7,2023-04-16 04:51:04,2023-04-16 04:55:04,2023-04-16 05:02:04,completed,3.2,7,7.42,1.0,7.42,cash,4,Sunday,2023-04,2023,True,4.0,2.3187499999999996,No Surge,Under $10
24,5,224,28,29,2023-09-09 13:02:07,2023-09-09 13:04:07,2023-09-09 14:42:07,completed,35.74,98,61.41,1.0,61.41,card,13,Saturday,2023-09,2023,True,2.0,1.7182428651371011,No Surge,$50–$100
25,5,365,1,2,2023-05-22 11:13:26,2023-05-22 11:23:26,2023-05-22 12:14:26,completed,25.79,51,41.07,1.0,41.07,wallet,11,Monday,2023-05,2023,False,10.0,1.5924777045366423,No Surge,$25–$50
26,5,268,29,28,2024-05-29 00:48:02,2024-05-29 00:58:02,2024-05-29 02:31:02,completed,37.67,93,62.54,1.0,62.54,wallet,0,Wednesday,2024-05,2024,False,10.0,1.6602070613220068,No Surge,$50–$100
27,5,30,33,35,2024-05-31 09:36:24,2024-05-31 09:43:24,2024-05-31 10:09:24,completed,12.37,26,21.31,1.0,21.31,cash,9,Friday,2024-05,2024,False,7.0,1.7227162489894907,No Surge,$10–$25
28,5,127,32,37,2022-01-13 23:00:40,2022-01-13 23:05:40,2022-01-13 23:41:40,completed,17.46,36,28.91,1.0,28.91,cash,23,Thursday,2022-01,2022,False,5.0,1.6557846506300113,No Surge,$25–$50
30,5,65,11,12,2024-01-30 18:54:32,2024-01-30 19:01:32,2024-01-30 19:43:32,completed,28.58,42,42.34,1.6,67.74,cash,18,Tuesday,2024-01,2024,False,7.0,2.3701889433170047,High Surge,$50–$100
31,5,250,2,1,2023-02-22 23:17:20,2023-02-22 23:25:20,2023-02-23 00:19:20,completed,25.92,54,41.81,1.0,41.81,card,23,Wednesday,2023-02,2023,False,8.0,1.6130401234567902,No Surge,$25–$50
32,5,144,27,30,2023-11-26 21:10:02,2023-11-26 21:16:02,2023-11-26 21:32:02,completed,13.17,16,20.19,1.0,20.19,cash,21,Sunday,2023-11,2023,True,6.0,1.5330296127562644,No Surge,$10–$25
33,5,218,16,15,2024-04-23 07:01:24,2024-04-23 07:06:24,2024-04-23 07:15:24,completed,4.82,9,9.6,2.26,21.7,card,7,Tuesday,2024-04,2024,False,5.0,4.5020746887966805,High Surge,$10–$25
34,5,277,34,37,2024-04-10 22:50:31,2024-04-10 23:02:31,2024-04-10 23:30:31,completed,15.1,28,24.71,1.0,24.71,cash,22,Wednesday,2024-04,2024,False,12.0,1.6364238410596028,No Surge,$10–$25
35,5,183,10,3,2022-12-22 22:12:45,2022-12-22 22:16:45,2022-12-22 22:45:45,completed,19.01,29,29.21,1.0,29.21,cash,22,Thursday,2022-12,2022,False,4.0,1.536559705418201,No Surge,$25–$50
36,5,206,22,30,2023-12-17 01:21:16,2023-12-17 01:23:16,2023-12-17 02:04:16,completed,15.61,41,27.87,1.0,27.87,cash,1,Sunday,2023-12,2023,True,2.0,1.7853939782190904,No Surge,$25–$50
