trip_id,rider_id,driver_id,pickup_location_id,dropoff_location_id,requested_at,started_at,completed_at,status,distance_km,duration_mins,base_fare,surge_multiplier,total_fare,payment_method,hour,day_of_week,month,year,is_weekend,wait_time_mins,fare_per_km,surge_tier
1,1,34,26,29,6/24/2024 12:20,6/24/2024 12:29,6/24/2024 14:24,completed,39.14,115,68.55,1,68.55,wallet,12,Monday,2024-06,2024,FALSE,9,1.751405212,No Surge
3,2,126,13,15,8/17/2023 9:30,8/17/2023 9:32,8/17/2023 9:36,completed,2.78,4,6.36,1,6.36,wallet,9,Thursday,2023-08,2023,FALSE,2,2.287769784,No Surge
4,2,255,10,6,11/21/2022 9:53,11/21/2022 9:58,11/21/2022 10:17,completed,14.25,19,21.98,1,21.98,cash,9,Monday,2022-11,2022,FALSE,5,1.54245614,No Surge
5,3,186,37,31,1/15/2022 14:04,1/15/2022 14:12,1/15/2022 14:56,completed,41.54,44,56.99,1,56.99,wallet,14,Saturday,2022-01,2022,TRUE,8,1.371930669,No Surge
6,3,370,18,14,5/5/2022 7:41,5/5/2022 7:53,5/5/2022 8:33,completed,22.63,40,35.39,1.57,55.56,cash,7,Thursday,2022-05,2022,FALSE,12,2.455148034,High Surge
8,3,116,9,1,4/17/2023 10:12,4/17/2023 10:21,4/17/2023 10:28,completed,4.36,7,8.7,1,8.7,cash,10,Monday,2023-04,2023,FALSE,9,1.995412844,No Surge
9,3,9,16,15,9/9/2022 23:10,9/9/2022 23:19,9/9/2022 23:27,completed,4.28,8,8.81,2.73,24.05,cash,23,Friday,2022-09,2022,FALSE,9,5.619158879,High Surge
10,3,319,7,2,6/13/2022 9:37,6/13/2022 9:40,6/13/2022 10:41,completed,22.05,61,38.96,1,38.96,cash,9,Monday,2022-06,2022,FALSE,3,1.766893424,No Surge
12,3,275,14,15,2/27/2024 10:58,2/27/2024 11:05,2/27/2024 11:31,completed,19.86,26,29.55,1,29.55,wallet,10,Tuesday,2024-02,2024,FALSE,7,1.487915408,No Surge
13,3,208,17,19,6/26/2023 22:59,6/26/2023 23:07,6/26/2023 23:10,completed,1.3,3,4.53,1,4.53,wallet,22,Monday,2023-06,2023,FALSE,8,3.484615385,No Surge
14,3,343,2,4,3/17/2024 20:44,3/17/2024 20:48,3/17/2024 21:48,completed,28.56,60,45.92,1,45.92,cash,20,Sunday,2024-03,2024,TRUE,4,1.607843137,No Surge
15,4,349,38,40,8/5/2023 21:32,8/5/2023 21:41,8/5/2023 22:02,completed,13.46,21,21.51,1,21.51,cash,21,Saturday,2023-08,2023,TRUE,9,1.598068351,No Surge
17,5,241,33,31,9/25/2023 1:05,9/25/2023 1:15,9/25/2023 1:50,completed,40.3,35,53.83,1,53.83,card,1,Monday,2023-09,2023,FALSE,10,1.33573201,No Surge
18,5,275,14,11,8/11/2022 7:03,8/11/2022 7:08,8/11/2022 7:47,completed,30.64,39,44,1.88,82.72,cash,7,Thursday,2022-08,2022,FALSE,5,2.699738903,High Surge
19,5,323,21,27,5/29/2024 5:57,5/29/2024 6:03,5/29/2024 6:28,completed,27.34,25,37.57,1,37.57,card,5,Wednesday,2024-05,2024,FALSE,6,1.37417703,No Surge
20,5,76,38,39,9/1/2023 14:54,9/1/2023 15:01,9/1/2023 15:28,completed,20.39,27,30.33,1,30.33,cash,14,Friday,2023-09,2023,FALSE,7,1.48749387,No Surge
21,5,285,21,27,2/16/2023 12:13,2/16/2023 12:19,2/16/2023 13:19,completed,25.58,60,42.64,1,42.64,cash,12,Thursday,2023-02,2023,FALSE,6,1.666927287,No Surge
22,5,100,22,30,3/19/2024 5:31,3/19/2024 5:33,3/19/2024 6:06,completed,17.63,33,28.49,1,28.49,card,5,Tuesday,2024-03,2024,FALSE,2,1.615995462,No Surge
23,5,132,8,7,4/16/2023 4:51,4/16/2023 4:55,4/16/2023 5:02,completed,3.2,7,7.42,1,7.42,cash,4,Sunday,2023-04,2023,TRUE,4,2.31875,No Surge
24,5,224,28,29,9/9/2023 13:02,9/9/2023 13:04,9/9/2023 14:42,completed,35.74,98,61.41,1,61.41,card,13,Saturday,2023-09,2023,TRUE,2,1.718242865,No Surge
25,5,365,1,2,5/22/2023 11:13,5/22/2023 11:23,5/22/2023 12:14,completed,25.79,51,41.07,1,41.07,wallet,11,Monday,2023-05,2023,FALSE,10,1.592477705,No Surge
26,5,268,29,28,5/29/2024 0:48,5/29/2024 0:58,5/29/2024 2:31,completed,37.67,93,62.54,1,62.54,wallet,0,Wednesday,2024-05,2024,FALSE,10,1.660207061,No Surge
27,5,30,33,35,5/31/2024 9:36,5/31/2024 9:43,5/31/2024 10:09,completed,12.37,26,21.31,1,21.31,cash,9,Friday,2024-05,2024,FALSE,7,1.722716249,No Surge
28,5,127,32,37,1/13/2022 23:00,1/13/2022 23:05,1/13/2022 23:41,completed,17.46,36,28.91,1,28.91,cash,23,Thursday,2022-01,2022,FALSE,5,1.655784651,No Surge
30,5,65,11,12,1/30/2024 18:54,1/30/2024 19:01,1/30/2024 19:43,completed,28.58,42,42.34,1.6,67.74,cash,18,Tuesday,2024-01,2024,FALSE,7,2.370188943,High Surge
31,5,250,2,1,2/22/2023 23:17,2/22/2023 23:25,2/23/2023 0:19,completed,25.92,54,41.81,1,41.81,card,23,Wednesday,2023-02,2023,FALSE,8,1.613040123,No Surge
32,5,144,27,30,11/26/2023 21:10,11/26/2023 21:16,11/26/2023 21:32,completed,13.17,16,20.19,1,20.19,cash,21,Sunday,2023-11,2023,TRUE,6,1.533029613,No Surge
33,5,218,16,15,4/23/2024 7:01,4/23/2024 7:06,4/23/2024 7:15,completed,4.82,9,9.6,2.26,21.7,card,7,Tuesday,2024-04,2024,FALSE,5,4.502074689,High Surge
34,5,277,34,37,4/10/2024 22:50,4/10/2024 23:02,4/10/2024 23:30,completed,15.1,28,24.71,1,24.71,cash,22,Wednesday,2024-04,2024,FALSE,12,1.636423841,No Surge
35,5,183,10,3,12/22/2022 22:12,12/22/2022 22:16,12/22/2022 22:45,completed,19.01,29,29.21,1,29.21,cash,22,Thursday,2022-12,2022,FALSE,4,1.536559705,No Surge
36,5,206,22,30,12/17/2023 1:21,12/17/2023 1:23,12/17/2023 2:04,completed,15.61,41,27.87,1,27.87,cash,1,Sunday,2023-12,2023,TRUE,2,1.785393978,No Surge
38,5,287,33,34,12/19/2022 9:23,12/19/2022 9:27,12/19/2022 9:43,completed,11.61,16,18.47,1,18.47,card,9,Monday,2022-12,2022,FALSE,4,1.59086994,No Surge
39,5,299,40,36,2/25/2024 7:11,2/25/2024 7:15,2/25/2024 8:54,completed,37.35,99,63.39,1,63.39,cash,7,Sunday,2024-02,2024,TRUE,4,1.697188755,No Surge
40,5,364,32,37,11/24/2022 19:07,11/24/2022 19:18,11/24/2022 19:48,completed,21.97,30,32.67,1.92,62.73,card,19,Thursday,2022-11,2022,FALSE,11,2.855257169,High Surge
41,5,360,38,36,12/15/2023 19:02,12/15/2023 19:08,12/15/2023 20:13,completed,25.58,65,43.64,2.87,125.25,cash,19,Friday,2023-12,2023,FALSE,6,4.89640344,High Surge
42,5,327,10,7,9/4/2022 3:29,9/4/2022 3:37,9/4/2022 4:01,completed,13.17,24,21.79,1,21.79,card,3,Sunday,2022-09,2022,TRUE,8,1.654517844,No Surge
43,5,72,20,18,11/30/2023 7:45,11/30/2023 7:50,11/30/2023 8:26,completed,22.73,36,34.7,2.22,77.03,cash,7,Thursday,2023-11,2023,FALSE,5,3.38891333,High Surge
44,5,124,25,24,6/17/2023 5:20,6/17/2023 5:26,6/17/2023 6:13,completed,25.99,47,40.49,1,40.49,cash,5,Saturday,2023-06,2023,TRUE,6,1.557906887,No Surge
45,5,147,32,36,9/23/2023 20:31,9/23/2023 20:37,9/23/2023 20:41,completed,4.72,4,8.49,1,8.49,wallet,20,Saturday,2023-09,2023,TRUE,6,1.798728814,No Surge
46,5,19,14,15,4/9/2024 10:45,4/9/2024 10:57,4/9/2024 11:40,completed,17.36,43,30.2,1,30.2,cash,10,Tuesday,2024-04,2024,FALSE,12,1.739631336,No Surge
47,5,382,21,30,3/22/2023 23:08,3/22/2023 23:10,3/23/2023 0:01,completed,39.37,51,56.01,1,56.01,cash,23,Wednesday,2023-03,2023,FALSE,2,1.422656845,No Surge
48,5,172,35,33,9/22/2023 22:47,9/22/2023 22:55,9/22/2023 23:07,completed,11.72,12,17.79,1.69,30.07,card,22,Friday,2023-09,2023,FALSE,8,2.565699659,High Surge
49,5,368,34,37,12/25/2022 17:39,12/25/2022 17:41,12/25/2022 18:11,completed,20.95,30,31.55,1,31.55,wallet,17,Sunday,2022-12,2022,TRUE,2,1.505966587,No Surge
50,5,389,32,36,8/19/2022 9:20,8/19/2022 9:29,8/19/2022 9:32,completed,4.79,3,8.37,1,8.37,card,9,Friday,2022-08,2022,FALSE,9,1.747390397,No Surge
51,5,164,2,5,2/3/2024 6:34,2/3/2024 6:41,2/3/2024 7:06,completed,27.87,25,38.16,1,38.16,wallet,6,Saturday,2024-02,2024,TRUE,7,1.369214209,No Surge
52,5,108,10,4,12/4/2022 18:17,12/4/2022 18:24,12/4/2022 18:46,completed,19.34,22,28.17,1,28.17,card,18,Sunday,2022-12,2022,TRUE,7,1.456566701,No Surge
53,5,232,14,16,10/11/2023 4:26,10/11/2023 4:38,10/11/2023 5:33,completed,21.04,55,36.64,1,36.64,card,4,Wednesday,2023-10,2023,FALSE,12,1.741444867,No Surge
54,5,393,14,20,1/31/2022 21:08,1/31/2022 21:12,1/31/2022 21:47,completed,17.05,35,28.26,1,28.26,card,21,Monday,2022-01,2022,FALSE,4,1.657478006,No Surge
55,6,166,1,4,8/11/2022 12:43,8/11/2022 12:54,8/11/2022 13:03,completed,8.28,9,13.41,1,13.41,cash,12,Thursday,2022-08,2022,FALSE,11,1.619565217,No Surge
